Tag,RelatedQuestions
aaron,"[659, 660, 1054]"
abra,"[74, 818]"
absol,"[216, 341, 765]"
ace trainer,"[32, 91, 183, 443, 462, 463, 496, 577, 578, 644, 954, 994, 1013, 1156, 1160, 1170]"
acid armor,[587]
aeroblast,[139]
aerodactyl,"[146, 147, 340, 373, 769, 1009, 1168]"
aether foundation,"[323, 1062]"
agatha,"[32, 114, 115, 153, 198, 212, 430, 469, 486, 540, 645, 716, 739, 745, 800, 802, 1056, 1058, 1183, 1184, 1186]"
age,"[21, 67, 116, 122, 127, 128, 129, 194, 203, 204, 205, 277, 382, 388, 398, 400, 424, 434, 558, 630, 631, 637, 638, 656, 660, 661, 666, 676, 720, 736, 741, 743, 788, 815, 852, 1083, 1105, 1111]"
agility,[202]
air lens,"[28, 158, 288, 391, 1023, 1024, 1153]"
air slash,[923]
alain,[162]
alakazam,"[29, 81, 103, 104, 105, 108, 150, 216, 240, 241, 242, 267, 345, 346, 411, 413, 414, 540, 570, 575, 781, 782, 899, 1029]"
alder,"[161, 325, 326, 410, 417, 856, 1064, 1083, 1143]"
alfa dynasty,[389]
almia,[1050]
alola,"[43, 95, 122, 149, 389, 410, 490, 967]"
altomare,[548]
ambertwo,[908]
amelia,"[38, 603, 862, 949, 1137, 1142, 1147]"
apricorn balls,"[473, 891, 981]"
arbok,[221]
arcanine,"[29, 150, 436, 601, 1101]"
arceus,"[1074, 1075, 1076]"
archer,[17]
archie,"[100, 101, 911]"
ardos,[222]
ariana,[17]
arid zone,[940]
aron,"[398, 631, 637, 1079, 1111]"
articuno,"[1, 63, 480, 597, 807, 878, 883, 1034, 1035, 1055]"
