Num,Question,RelatedTags,Answer
1,On who is responsible for the Jynxs’ transfiguration.,"['Articuno', 'Feather', 'Haukea', 'Legendary Birds', 'Jynx']",Just wanted to clear up a quick misconception! Articuno doesn’t bestow a Feather to the Jynx - that’s Haukea manifesting her own Feather and using it to catalyze the transformation.
2,Do all Champions/Future Champions meet Moltres?,"['Champion', 'Chinatsu', 'Legendary Birds', 'Moltres']","Yep, in general Champions only meet Chinatsu. If I remember right, no Champion had met Moltres in centuries."
3,Comparison between the Will of Fire concept (Naruto-verse) and Chinatsu’s duty.,"['Champion', 'Chinatsu', 'Indigo', 'League']","Sort of - Chinatsu is also connected to the Champion’s office for another reason besides offering wisdom. If an Indigo Champion were to go mad or disrespect the authority of their office, who better to put an end to them?"
4,A young Larvitar’s destructive ability to eat and break stone is matched against a young Rhyhorn’s armor. What emerges as the victor?,"['Larvitar', 'Rhyhorn', 'Pokemon Battle']","Larvitar’s bites would probably be effective at damaging the armor, but Rhyhorn is probably going to figure the game out real quick."
5,So does this make Larvitar a major predator?,"['Geodude', 'Larvitar', 'Pokemon Behaviour', 'Tyranitar']","I see a lone Larvitar as more of a scavenger or picking off weaker Pokémon like young Geodude, while ones with their parents just dig into whatever mama Tyranitar murders."
6,Is Mt. Silver as isolated in Traveler as the games?,"['Conference', 'Indigo', 'Indigo Plateau', 'Mt. Silver', 'Silver Town']","It’s fairly isolated, but has both the Pokémon League Village and Silver Town nearby. They’re sparsely populated outside of Conferences, however. The only regular human presence on and around Mt. Silver is Indigo Plateau, which is built onto the side."
7,Is the shrine [Chinatsu’s] built into the Mt. [Mt. Silver]?,"['Chinatsu', 'Indigo', 'Indigo Plateau', 'League', 'Mt. Silver', 'Wild Pokemon']",Yep. The League maintains various tunnels for their use. The wild Pokémon are too afraid of Chinatsu to try and infringe on them.
8,Is Melmetal a mythical Pokemon Traveler?,"['Aura', 'Melmetal', 'Mythical Pokemon', 'Pokemon Biology']","It’s been a while since I visited that lore, but if I remember correctly I had Melmetal as Aura-forged human constructs that were recently discovered. Subject to change, of course!"
9,"It was mentioned early on that Seadra could learn to levitate after extensive training, I'm guessing it's done through their latent draconic power?","['Dragon type', 'Seadra']","Yep, that’s right. Seadra levitate through their latent draconic power, although it’s quite difficult."
10,What do you define aura-forged pokemon to be?,"['Aura', 'Distortion', 'Sinnoh', 'Spiritomb']","And in general you have certain Aura-forged Pokémon created all over the world. When looking at their qualities, you have to realize that their qualities are defined by what their creators needed from them. Guardians, weapons, partners, laborers...there’s a massive range of them. Some are designed with the ability to reproduce to better fulfill their role, while others were denied that power for various reasons. Can you imagine if Spiritomb were capable of easily reproducing? Sinnoh would be a Distorted nightmare."
11,Do common people know about this type of aura-forged pokemon? [see question 10],"['Aura', 'Spiritomb']",People don’t know they were created by Aura (and some of these Pokémon are still mostly hidden such as Spiritomb) but they know of many of these Pokémon.
